,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,"C-STUDIOS FILE NAMING CONVENTIONS
File Naming: Name_Title_Year_Project_Added by

NOTE: project refers to specific CS project, only name if known.",
,,,,,,"Hi Maggie, thanks so much I would ike to inclide the album title here also.",,,,,,,
,,,,,,"I might have added to many songs from a project on the folder. I don't think we need to add more than 2 per project max. that's why highlighting the album is key I think, please add the link also ",,,,,,,
,,ASSET ,TITLE,NAME ,ALBUM,YEAR,PROJECT,ADDED,BY,FILE NAME ,NOTES,,"
,,,LYRICZ,Thirteendegrees,DWNTWN LUV,2026,,11/05/2026,Cynthia,Thirteendegrees_LYRICZ_2026_CI,,,
,,,Wey U,Chanté Moore,Waiting To Exhale,1995,,11/05/2026,Cynthia,ChantéMoore_WeyU_1995_CI,,,
,,,Are You Looking Up,Mk.gee,Two Star & The Dream Police,2024,,11/05/2026,Cynthia,Mk.gee_AreYouLookingUp_2024_CI,,,
,,,JUMZZZ,Loukeman,Sd-2,2024,,11/05/2026,Cynthia,Loukeman_JUMZZZ_2024_CI,,,
,,,Love Is Here 1 - Live in Paris (1975),Pharoah Sanders,Live in Paris (1975),1975,,11/05/2026,Cynthia,PharoahSanders_LoveIsHere1-LiveinParis(1975)_1975_CI,,,
,,,Mad,Loukeman,Sd-3,2026,,11/05/2026,Cynthia,Loukeman_Mad_2026_CI,,,
,,,Intro with Klein,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_IntrowithKlein_2023_CI,,,
,,,Dambe,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_Dambe_2023_CI,,,
,,,Zap!,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_Zap!_2023_CI,,,
,,,African Sex Freak Fantasy,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_AfricanSexFreakFantasy_2023_CI,,,
,,,Snake Charm,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_SnakeCharm_2023_CI,,,
,,,plz don't cut my wings (feat. Earl Sweatshirt),MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE+EarlSweatshirt_plzdon'tcutmywings_2023_C,,,
,,,REAL LOVE with Fashionspitta,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_REALLOVEwithFashionspitta_2023_CI,,,
,,,U think Maybe? (feat. Liv.e and Venna),MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE+Liv.e+Venna_UthinkMaybe(feat.Liv.eandVenna)_2023_CI,,,
,,,Zombie,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_Zombie_2023_CI,,,
,,,Set the Mood,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_SettheMood_2023_CI,,,
,,,"Billboards with Anuoluwapo ""Sandra"" Majekodunmi",MIKE,Burning Desire,2023,,12/05/2026,Cynthia,"MIKE_BillboardswithAnuoluwapo""Sandra""Majekodunmi_2023_CI",,,
,,,98,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_98_2023_CI,,,
,,,Do you Believe?,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_DoYouBelieve?_2023_CI,,,
,,,Burning Desire,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_BurningDesire_2023_CI,,,
,,,THEY DON'T STOP IN THE RAIN with TAKA,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_THEYDON'TSTOPINTHERAINwithTAKA_2023_CI,,,
,,,Baby Jesus,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_BabyJesus_2023_CI,,,
,,,Ho-Rizin,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_Ho-Rizin_2023_CI,,,
,,,Mussel Beach (feat. El Costeau and Niontay),MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE+ElCousteau+Niontay_MusselBeach(feat.ElCousteauandNiontay)_2023_CI,,,
,,,Sixteens,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_Sixteens_2023_CI,,,
,,,should be! (feat. Lila Ramani),MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE+LilaRamani_shouldbe!(feat.LilaRamani)_2023_CI,,,
,,,What U Say Are,MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_WhatUSayUAre_2023_CI,,,
,,,Golden Hour (feat. Larry June),MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE+LarryJune_GoldenHour(feat.LarryJune)_2023_CI,,,
,,,Playtime (Interlude),MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE_Playtime(Interlude)_2023_CI,,,
,,,Let's Have a Ball (feat. mark william lewis),MIKE,Burning Desire,2023,,12/05/2026,Cynthia,MIKE+markwilliamlewis_Let'sHaveaBall(feat.markwilliamlewis)_2023_CI,,,
,,,veil,svn4vr,herts on fire,2026,,12/05/2026,Cynthia,svn4vr_veil_2026_CI,,,
,,,where did everybody go after the show,svn4vr,herts on fire,2026,,12/05/2026,Cynthia,svn4vr_wheredideverybodygoaftertheshow_2026_CI,,,
